"FSC.A","Timer.Blue","Timer.Red"
75422.195312,189.23999,61.773155
78449,139.440002,20.969851
93175.601562,-57.27,15.777854
67733.398438,63.91,9.077605
107542.398438,125.329994,-13.738632
68243.695312,75.529999,-18.657593
67421.195312,13.28,-3.266284
73361.398438,33.200001,-29.772129
43159.199219,-21.58,92.080414
73104.5,73.869995,-14.232939
86025.796875,158.529999,-28.445992
67746.695312,21.58,26.768074
76172.601562,-61.419998,-19.342182
66376.101562,39.84,23.915833
66231.195312,-142.759995,16.771116
77385,232.399994,2.655833
83921.601562,54.779999,34.90192
75255.601562,25.73,4.56284
76877.5,198.369995,31.720873
61247.898438,195.87999,-51.614994
89863.898438,93.790001,46.340733
48970.597656,-86.32,-50.88842
73311.695312,-21.58,23.319824
75784.796875,-1.66,-38.121967
75182.101562,141.099991,-21.931967
77252.695312,152.720001,117.430946
120214.5,282.199982,128.96051
73647.695312,68.889999,53.67551
62927.898438,-49.799999,35.237946
91330.398438,244.849991,125.914276
106796.898438,97.110001,64.334801
87129,87.979996,91.548836
75625.898438,66.400002,-9.554773
80276.695312,192.559998,-49.693737
121352.695312,85.489998,-2.922456
89171.601562,90.470001,15.989232
81344.898438,139.440002,70.397842
76564.601562,-14.94,-33.102901
87392.195312,36.52,-48.767113
79288.296875,119.519997,100.536652
76754.296875,72.209999,-24.215897
70879.898438,16.6,-72.503479
72173.5,24.9,-21.79138
71205.398438,16.6,-20.674007
75951.398438,151.059998,0.831427
53506.597656,162.679993,38.795578
70855.398438,43.989998,-19.546555
79741.195312,107.900002,-19.562277
81702.601562,252.319992,70.535416
76342,43.989998,-22.797394
126638.398438,166,51.248577
80152.101562,68.059998,-61.353699
90329.398438,175.959991,62.706429
73035.898438,253.149994,-65.988937
73193.398438,190.899994,-37.619106
87206,37.349998,-12.533854
74861.5,68.059998,-25.510319
76708.101562,63.079998,0.057853
81801.296875,152.720001,-7.56594
99732.5,64.739998,13.933624
73147.898438,70.549995,58.736305
82313,11.62,81.511818
78056.296875,15.77,70.354919
75861.101562,63.91,82.683159
69769,-30.709999,26.191784
78785.695312,49.799999,10.922955
73026.796875,-42.329998,10.923444
79559.195312,128.649994,37.375687
82793.898438,166,0.46536
73484.601562,117.029999,-31.86721
73028.195312,51.459999,11.321882
74190.898438,36.52,69.53907
72079,62.25,-32.478516
64681.398438,85.489998,1.473534
89941.601562,110.389999,-0.225396
77504.695312,83,-21.100737
64360.800781,-52.289997,76.903633
79879.796875,177.619995,30.6849
72583,94.619995,18.941431
73439.796875,138.610001,-29.525469
79745.398438,26.559999,28.044983
103801.601562,176.789993,30.433043
72772,-53.119999,-47.709877
61421.5,214.970001,91.599785
65380.699219,-13.28,-55.542091
81193,108.729996,5.69109
75828.898438,-68.889999,-29.990915
96273.796875,-4.15,-58.097504
81361.695312,1.66,10.733608
71983.796875,-53.119999,-37.977001
69972,137.779999,28.998842
72317,232.399994,15.091708
73847.195312,-72.209999,104.541763
78238.296875,112.049995,9.455521
82507.601562,65.57,-62.339428
78397.195312,81.339996,18.358974
74788,-108.729996,30.331699
40586,30.709999,26.352148
45703,126.989998,-12.30055
92797.601562,190.899994,38.777233
70564.195312,255.639999,-68.038689
83857.195312,116.199997,14.683819
102274.898438,146.080002,54.056183
130655,318.720001,8.871987
80723.296875,220.779999,69.788078
77069.296875,-41.5,-33.080082
78519.695312,-13.28,12.876085
84973.695312,26.559999,108.512474
59136.699219,-53.119999,-8.469338
84836.5,-58.93,-20.183685
108525.898438,183.429993,20.793007
80648.398438,42.329998,48.541439
86643.898438,127.82,64.351967
75844.296875,-84.659996,-19.265003
60930.097656,-83.830002,18.300287
68768,-133.630005,20.228546
71248.101562,30.709999,-54.501263
74167.101562,166,71.937981
83790,106.239998,-21.230352
81918.195312,172.639999,-29.885899
59932.597656,9.96,19.995096
80893.398438,187.580002,12.259055
61065.199219,-5.81,-55.040916
85684.898438,122.839996,56.968685
79348.5,34.860001,-50.614021
70102.898438,113.709999,-40.435577
82792.5,83,14.961437
74564.695312,33.200001,45.283104
77889,108.729996,34.144119
75912.195312,93.790001,-13.534357
56186.898438,66.400002,56.24094
86846.898438,205.009995,29.997591
77164.5,175.959991,86.813202
83622,146.910004,106.456078
63372.398438,78.849998,-18.414772
73561.601562,117.029999,9.854232
80725.398438,81.339996,56.624695
79179.796875,32.369999,49.223888
65112.597656,190.069992,78.557716
57871.097656,200.029999,-22.2948
77939.398438,34.029999,39.949383
42821.097656,86.32,82.259262
79086,-24.07,-13.786494
74006.796875,45.649998,-38.82214
80126.898438,83.830002,-109.39975
60069.800781,0,-1.819807
118267.796875,268.089996,-36.046307
68609.796875,83,13.750049
75182.101562,43.16,-45.713261
67075.398438,141.929993,93.119843
80480.398438,53.950001,-5.273117
79084.601562,117.860001,0.162173
77387.796875,145.25,84.42791
80439.101562,24.9,-12.220229
70760.195312,71.379997,6.726132
71050.695312,-120.349998,39.298397
56068.597656,9.13,11.072809
86784.601562,138.610001,-31.980284
81800.601562,-70.549995,-30.784298
79036.296875,134.459991,8.030323
79042.601562,-35.689999,73.467598
72907.796875,-7.47,-41.44603
76727,139.440002,-10.485469
73642.796875,98.769997,-32.191994
71893.5,117.029999,-12.644567
66800.296875,118.689995,-32.61977
43626.800781,151.889999,46.618282
74122.296875,78.019997,-44.830444
85325.796875,47.309998,38.994606
74534.601562,204.179993,21.201492
71059.796875,66.400002,50.172646
91391.296875,112.049995,-11.51439
69568.796875,201.690002,27.319901
80726.101562,222.440002,106.327477
90691.296875,24.9,130.27121
66017,130.309998,-67.854454
81147.5,173.470001,65.054192
82175.101562,154.37999,3.080449
85031.796875,212.479996,-22.395027
73332,115.369995,27.954462
57927.800781,-42.329998,5.745827
76056.398438,-34.860001,-89.722504
85294.296875,190.069992,76.349007
104692.695312,286.350006,-19.141151
72137.796875,19.92,24.577923
74518.5,20.75,47.763393
92409.101562,-12.45,-2.425094
80018.398438,155.209991,15.335113
72702.695312,132.800003,5.737009
73917.195312,43.989998,-33.050121
79660,80.510002,135.960938
77684.601562,29.049999,33.098511
75660.898438,153.550003,-29.414938
74044.601562,137.779999,-10.580139
73210.898438,31.539999,116.234306
71842.398438,193.389999,110.042519
73360,-67.229996,-74.741379
87091.195312,139.440002,-1.699413
80899,115.369995,40.988312
91295.398438,219.119995,43.869122
87938.195312,-15.77,64.155563
73121.296875,190.069992,4.58496
70451.5,41.5,107.7323
74732,33.200001,64.395859
77847,64.739998,-36.279301
61152.699219,48.969997,47.910652
72007.601562,-40.669998,-27.598783
92442,100.43,-16.840208
64204,52.289997,12.352098
88512.195312,268.919983,-12.864515
60555.597656,-29.049999,1.448147
74620,83,106.137436
80000.195312,78.019997,18.727016
83927.195312,102.089996,23.991726
79274.296875,92.129997,23.385651
84597.796875,66.400002,-37.04443
60677.398438,205.839996,22.413599
70508.195312,97.110001,63.783073
78780.101562,190.069992,-20.785625
81032.695312,152.720001,31.521221
78530.195312,44.82,-23.503548
77509.601562,-92.129997,45.47374
94455.195312,102.919998,-70.647987
43978.199219,93.790001,-28.801632
70774.898438,126.989998,20.826546
76349.695312,84.659996,-73.397865
84184.796875,-33.200001,-52.412525
79115.398438,-56.439999,2.948363
73546.898438,41.5,6.903053
72482.898438,94.619995,24.273016
79059.398438,-14.11,2.694339
68096,31.539999,131.470352
72214.796875,-12.45,-22.198099
82380.195312,39.009998,37.140652
126751.796875,304.609985,133.682129
97706,185.919998,5.133107
83596.101562,106.239998,43.787712
81010.296875,184.259995,8.969953
116933.601562,170.979996,85.65934
73361.398438,88.809998,-3.78159
83779.5,58.93,32.955723
62653.5,73.040001,-3.55281
68042.796875,87.979996,73.010284
47404,205.009995,12.358491
80079.296875,58.099998,5.897966
76017.898438,8.3,12.293378
75728.101562,82.169998,39.30484
74709.601562,59.759998,29.494678
77749,83,5.183739
75258.398438,35.689999,-4.004211
79051,122.009995,5.947779
78984.5,50.629997,51.799438
89150.601562,63.91,-36.125011
73747.101562,-2.49,24.850306
86225.296875,93.790001,-7.829634
94235.398438,195.050003,73.614845
75002.898438,114.540001,81.379555
72926.695312,-51.459999,28.771553
81010.296875,46.48,-36.393593
87140.195312,-34.860001,50.996372
123821.601562,192.559998,-14.629007
75273.101562,19.92,36.76384
69055.695312,129.479996,31.504438
85292.195312,158.529999,93.799423
81468.101562,161.020004,51.726715
78255.101562,-4.98,27.723421
64362.898438,-21.58,29.025705
76985.296875,-88.809998,-40.946579
66481.796875,12.45,0.980045
68740,111.220001,-26.523428
77877.101562,-80.510002,-17.479412
71677.195312,-45.649998,-23.133539
78061.898438,117.860001,30.567854
73635.101562,-32.369999,-25.981434
70175,93.790001,73.220787
76428.101562,113.709999,-8.587912
60097.800781,10.79,47.361477
83111,95.449997,1.293039
70674.796875,39.009998,29.464317
70980,98.769997,29.162676
75810.695312,167.660004,34.139519
62094.199219,34.860001,21.227789
73922.796875,136.949997,17.827063
104359.5,263.940002,70.199669
72772,133.630005,79.892624
85999.195312,186.75,-38.668438
59441.898438,73.869995,19.554106
45549.699219,168.48999,20.780678
64203.300781,131.970001,2.373929
77447.296875,149.399994,13.618081
70268.796875,-76.360001,68.516342
71526,42.329998,98.797699
76563.195312,-31.539999,98.400681
75145,208.330002,-28.540497
75627.296875,2.49,-3.193551
72340.101562,68.889999,-43.765434
68908.695312,16.6,6.963162
68239.5,-34.860001,-14.813817
57978.898438,29.879999,45.031773
71679.296875,12.45,50.050179
73060.398438,-83,4.975853
81543.695312,8.3,13.743557
62937,211.649994,-56.223347
83004.601562,-29.879999,-63.877678
82665.101562,53.950001,72.317986
78253,142.759995,-23.673264
72341.5,-66.400002,-14.696548
79039.101562,-17.43,-23.042648
54377.398438,-84.659996,80.066269
77189.695312,-10.79,18.506815
74547.898438,71.379997,-27.255882
81615.796875,13.28,28.79195
90885.195312,205.839996,-25.97422
73514,126.159996,59.767223
71827,-43.989998,16.73638
49712.597656,191.729996,49.962994
102078.195312,133.630005,42.983097
74898.601562,-33.200001,12.104727
69306.296875,14.11,-47.329201
80369.796875,56.439999,72.770775
83137.601562,71.379997,22.250895
78470,207.5,-34.885433
71167.601562,144.419998,3.141384
57609.300781,149.399994,-37.172359
72515.101562,112.049995,37.992905
88966.5,57.27,9.778507
68040.695312,97.939995,86.547791
69932.101562,172.639999,-39.690514
74262.296875,48.139999,-4.054974
64621.199219,183.429993,-18.754215
81007.5,40.669998,57.185421
67192.296875,-25.73,-50.393158
72787.398438,102.919998,51.463451
114205.695312,34.860001,88.239494
93872.101562,114.540001,11.732778
88680.195312,113.709999,78.864952
83936.296875,131.970001,66.600052
94031.695312,206.669998,38.351048
72445.796875,18.26,34.243443
51586.5,83.830002,-32.860287
73392.898438,-9.96,91.653152
139920.203125,213.309998,-53.238106
71035.296875,-60.59,-36.689022
90960.101562,82.169998,47.324913
81433.796875,177.619995,38.312477
78516.195312,99.599998,-21.466721
76813.101562,140.270004,-69.206039
70072.101562,-4.98,-10.725744
91674.796875,151.889999,9.944701
74352.601562,157.699997,-30.693035
61738.597656,16.6,-51.048943
106207.5,105.409996,64.505417
98196,183.429993,-28.817902
74113.195312,-101.259995,-28.769619
69538.695312,-24.07,-62.703598
82856.195312,-97.110001,-11.402393
107266.601562,268.919983,131.46463
72456.296875,61.419998,-35.294861
63934.5,34.029999,50.007477
50195.597656,78.019997,-9.815874
72445.796875,84.659996,11.265588
41050.800781,159.360001,46.063202
89310.898438,116.199997,15.923753
85292.195312,45.649998,-28.730104
68151.296875,-39.009998,77.519966
78558.195312,87.979996,3.341394
60603.898438,146.080002,-31.159817
78521.796875,22.41,25.304089
79143.398438,-19.92,57.051628
79921.796875,92.129997,-28.747164
