"FSC.A","Timer.Blue","Timer.Red"
72859.5,226.589996,-37.54475
84399.695312,765.26001,8.082876
70315,66.400002,-53.14053
69218.796875,215.800003,20.440592
68591.601562,60.59,-65.944954
66052.695312,68.059998,15.25648
74199.296875,472.269989,-13.544364
76890.796875,734.549988,56.780811
70749.695312,572.700012,108.290253
64017.800781,39.84,-75.234459
70957.601562,723.76001,-10.344035
74453.398438,871.5,37.722122
77095.898438,854.070007,-21.266272
76339.195312,761.940002,-16.776596
113400.695312,507.130005,53.526936
121219,508.789978,36.377037
126387.101562,461.47998,-73.516571
69966.398438,1937.219971,-3.156856
46890.199219,771.899963,9.210217
70821.101562,1155.359985,-16.029652
81282.601562,913.829956,171.418167
64036.699219,50.629997,-38.743889
64667.398438,928.769958,70.638206
69798.398438,966.949951,185.874451
74342.101562,539.5,-65.581055
69534.5,213.309998,-29.466654
70062.296875,526.219971,118.293938
61079.898438,86.32,5.033024
85449,1762.919922,239.73407
75395.601562,745.339966,198.193802
71332.101562,566.059998,6.625321
73838.796875,596.769958,-67.154091
121202.195312,1272.390015,-147.199677
78227.101562,2843.579834,164.115463
70470.398438,434.919983,-1.438544
141454.59375,1414.319946,62.4361
90687.796875,1499.809937,101.031639
69229.296875,140.270004,-89.386009
74130.695312,34.029999,8.7797
78465.796875,1006.789978,61.858437
154751.796875,668.97998,44.919857
67606,144.419998,10.682279
64876,64.739998,-78.486618
67469.5,471.440002,6.22981
53350.5,670.640015,159.159668
65761.5,259.790009,-184.083633
73621.796875,435.75,-28.557457
73431.398438,344.449982,88.266838
72867.898438,995.169983,-47.352287
61121.199219,115.369995,1.608819
68894.695312,-23.24,-22.974951
82201.695312,252.319992,141.473068
78785.695312,268.919983,-96.477135
73039.398438,781.029968,-36.625259
64205.398438,-9.96,49.729122
84688.796875,632.459961,47.704086
114687.296875,114.540001,-74.850449
76633.898438,268.089996,-152.597824
77614.601562,156.039993,-89.950836
74474.398438,-143.589996,-10.314939
69494.601562,49.799999,33.170658
53811.097656,7.47,-7.050297
65324,211.649994,-38.813641
70810.601562,315.399994,-42.468391
74106.195312,153.550003,24.533913
76449.101562,-34.029999,-1.886624
69128.5,474.759979,-12.124839
70401.796875,276.389984,6.784241
74281.898438,558.589966,-33.794758
70123.898438,44.82,44.091557
63399.699219,693.880005,-64.888275
78671.601562,1184.410034,-35.795937
145911.5,616.690002,115.761475
66574.195312,194.220001,-20.006815
76548.5,445.709991,6.659204
75257.695312,188.410004,-109.760445
71416.101562,136.949997,51.526634
68961.195312,725.419983,92.501724
76544.296875,638.269958,-13.743308
63413,22.41,6.905677
68319.296875,864.029968,-4.71209
77311.5,381.799988,-42.325497
75188.398438,688.899963,108.852501
73005.796875,161.849991,0.862414
78561.695312,966.949951,105.651321
58809.097656,519.580017,-94.905304
85012.898438,548.630005,-4.068663
132750.09375,327.019989,27.113119
72340.796875,123.669998,80.319183
76677.296875,271.410004,-49.958824
73838.796875,524.559998,73.395195
76300.695312,301.290009,30.005297
79302.296875,318.720001,17.191471
62560.398438,97.939995,-68.65419
85848,498,29.00065
70892.5,848.26001,238.846024
71124.898438,582.659973,62.412373
79346.398438,385.949982,136.502747
69277.601562,590.130005,-81.361191
69759.898438,135.289993,50.882854
75175.796875,443.220001,-60.768787
72552.898438,2062.550049,9.603735
117461.398438,1106.390015,-127.946182
81813.898438,1134.609985,34.866676
78305.5,752.809998,-29.147043
73851.398438,543.649963,5.427317
72662.796875,749.48999,64.910751
80007.898438,1493.169922,73.603157
70284.898438,476.419983,-65.816574
68194,111.220001,-13.192764
70890.398438,375.160004,73.661125
73881.5,804.269958,-78.464249
79460.5,665.659973,56.629307
75916.398438,681.429993,45.872654
61755.398438,78.849998,-8.312361
57596.699219,-41.5,17.343031
73440.5,1349.579956,30.794962
65207.097656,336.97998,64.734795
72868.601562,313.73999,43.136299
80530.101562,1347.919922,126.539597
74180.398438,505.470001,128.687286
71995,722.099976,142.60556
77143.5,1533.839966,172.910278
135716,714.630005,10.530762
78844.5,626.649963,8.048574
58178.398438,672.299988,114.870926
63112.699219,467.289978,9.307581
75185.601562,385.119995,-17.848053
126307.296875,510.449982,96.86451
79529.101562,350.259979,170.819733
68028.101562,336.149994,35.844753
71678.601562,1479.059937,73.104919
78862.695312,2118.159912,92.099724
70160.296875,1018.409973,35.784046
66978.101562,249.830002,-41.463276
79811.195312,962.799988,129.596954
77473.898438,2938.199951,175.307144
71755.601562,888.099976,-47.205231
73752,418.319977,-13.059548
79965.195312,1008.449951,107.732864
72161.601562,651.549988,99.500237
73979.5,1290.650024,490.182007
66903.195312,444.880005,-62.703968
123374.296875,341.959991,-36.836266
67656.398438,380.970001,-12.205563
75341,320.380005,62.994499
70536.898438,333.660004,14.180225
75819.796875,1342.939941,115.324104
74949,838.299988,107.680664
73472.695312,255.639999,-3.507592
61140.800781,79.68,12.720389
67199.296875,-68.889999,-88.901909
81381.296875,96.279999,62.35294
74512.898438,264.769989,127.920876
67554.195312,98.769997,29.72806
79526.296875,361.880005,-38.136669
127302,763.599976,162.666794
72247.695312,78.019997,-39.901512
84503.296875,1138.76001,42.267895
61860.398438,48.139999,-105.698799
118044.5,138.610001,9.089482
72150.398438,23.24,62.810249
80072.296875,546.969971,25.90222
75469.101562,68.059998,-87.987122
79130.796875,1528.859985,57.182487
72121.695312,66.400002,14.808483
79565.5,546.140015,43.240292
70643.296875,737.039978,55.034248
83960.796875,292.98999,-136.752686
66427.195312,614.200012,6.330339
74771.898438,391.759979,-7.417428
72180.5,1375.309937,-84.589844
72765.695312,622.5,-33.994652
68375.296875,107.07,-62.456963
66325.695312,534.52002,-39.446533
77398.296875,899.719971,59.796867
69888.695312,1259.109985,147.051636
67746.695312,556.929993,22.767859
73248,341.959991,-19.754911
71164.101562,1192.709961,47.493855
71661.796875,356.070007,41.306564
79293.195312,64.739998,-54.209457
68418,247.339996,-124.523796
66766,-18.26,-44.493534
76613.601562,332,19.62759
73496.5,954.5,0.495398
67550,130.309998,13.588087
70800.796875,-73.040001,-31.911812
76908.296875,718.779968,103.428604
76654.195312,1664.150024,114.007019
72498.296875,179.279999,137.396408
76552,198.369995,-79.027725
68576.195312,1272.390015,-94.536858
76604.5,473.099976,-141.716675
67343.5,12.45,-41.189346
123515.695312,1144.569946,107.740311
77599.898438,459.819977,116.58165
125927.898438,517.089966,125.626221
123522.695312,311.25,-114.805359
72351.296875,124.5,63.572674
74201.398438,132.800003,2.111933
72812.601562,585.97998,47.806885
81049.5,2045.119995,20.077066
71459.5,745.339966,193.131714
62158.597656,311.25,39.080814
63359.097656,327.850006,-0.702879
72319.101562,349.429993,-16.035257
66071.601562,554.440002,67.36026
73585.398438,361.049988,66.633171
79912.695312,1532.179932,170.170013
124349.398438,268.919983,35.881512
70200.195312,420.809998,47.465412
67876.195312,439.069977,34.713108
67622.796875,1088.959961,21.367498
66488.101562,263.940002,11.184328
70555.796875,629.140015,66.972771
70300.296875,475.589996,8.164512
69801.195312,646.570007,112.298874
71451.796875,725.419983,27.522947
75574.101562,1359.539917,68.924324
76933.5,759.450012,80.758232
79316.296875,1860.029907,300.767548
71374.796875,36.52,-78.778976
64827,522.899963,4.531992
77378.695312,745.339966,39.497589
74148.898438,327.850006,-17.931118
123020.796875,1110.539917,155.576004
75435.5,230.73999,-86.229568
71851.5,766.919983,169.895218
82264.695312,1361.199951,61.437492
59402,329.509979,-32.228931
66126.898438,176.789993,-24.428415
71125.601562,434.089996,28.859173
72828,214.970001,-92.80925
70430.5,236.549988,-49.516972
62689.898438,-39.84,-68.647881
65169.300781,132.800003,-76.329643
78719.898438,420.809998,-64.149605
45769.5,32.369999,-161.826691
121901.5,696.369995,161.790527
72439.5,192.559998,65.831078
68720.398438,903.039978,-39.299091
125884.5,1468.27002,381.679871
53358.898438,100.43,71.314995
129392.898438,555.269958,86.56723
76195,430.769989,153.927872
64127,459.819977,-81.380142
70236.601562,745.339966,-77.094833
126942.195312,77.189995,137.363968
82382.296875,58.099998,67.048729
78274.695312,1736.359985,275.112366
64639.398438,412.509979,-38.859905
69613.601562,362.709991,-45.729877
91296.796875,1200.179932,4.803677
69993,72.209999,14.135041
55302.800781,120.349998,87.237411
70582.398438,259.790009,-102.27993
124847.796875,216.62999,90.567078
65986.898438,56.439999,90.146729
62330.800781,833.320007,-21.332027
77816.195312,861.539978,91.835899
75995.5,631.630005,-32.795845
72546.601562,633.289978,20.633474
61061.699219,403.380005,-32.677742
62104.699219,95.449997,-62.286072
63366.800781,581,90.081779
64743.699219,395.079987,-117.187805
77595,813.399963,9.666633
76609.398438,205.009995,41.967426
68155.5,162.679993,151.674866
62454,86.32,11.140751
73413.898438,235.720001,-10.743738
69104,56.439999,7.375394
75216.398438,654.869995,26.066441
78435,322.040009,40.97694
78394.398438,420.809998,-45.268269
68905.195312,296.309998,180.580902
68607.695312,251.48999,-20.527498
67763.5,439.069977,30.027702
69897.796875,531.200012,-4.194213
66873.796875,419.97998,42.633358
106787.796875,143.589996,3.251044
71960,320.380005,62.128796
70003.5,434.089996,24.522736
71360.101562,380.970001,7.198608
63859.597656,-4.15,26.020639
69507.195312,323.699982,-39.781441
63993.300781,167.660004,-17.392689
67837.695312,280.540009,90.297035
64600.898438,98.769997,-12.633501
75119.101562,478.910004,131.088837
67901.398438,233.229996,52.107853
71894.195312,281.369995,72.04792
124773.601562,583.48999,58.312607
74547.195312,229.080002,67.15313
74518.5,621.669983,-64.138641
81122.296875,1523.880005,165.738541
69064.101562,246.509995,-46.119659
68470.5,-32.369999,-33.492611
71638.695312,891.419983,78.521286
63603.398438,560.25,-44.552494
84427,517.919983,109.235321
72877,161.020004,0.252001
75693.796875,537.01001,30.733341
66595.195312,782.690002,48.301125
77648.898438,1352.900024,15.718245
66320.101562,272.23999,26.813828
78700.296875,589.299988,-64.892693
79859.5,-127.82,7.738323
66461.5,2041.799927,-6.893732
68262.601562,-7.47,132.487518
77679.695312,668.97998,132.103516
69430.195312,247.339996,-49.103668
66441.195312,514.599976,53.922714
75205.898438,464.799988,-38.624432
70184.796875,70.549995,-73.984924
78698.195312,176.789993,76.1539
75709.195312,302.949982,-172.739212
65968,439.899994,24.717329
75320.695312,269.75,46.60553
69187.296875,395.910004,-2.520388
63657.300781,530.369995,111.095802
69417.601562,151.889999,-9.856447
117294.101562,540.330017,3745.095703
68697.296875,1617.669922,32.795422
77121.796875,593.450012,118.745338
75639.195312,231.569992,2.307655
137782.390625,449.029999,50.724888
68775.695312,429.109985,64.567719
78234.796875,635.779968,57.955208
68133.796875,668.149963,46.931915
67407.195312,198.369995,28.156273
82251.398438,1985.359985,298.823761
70893.195312,32.369999,63.654079
67587.101562,172.639999,-112.250847
69630.398438,214.970001,-87.650955
71889.296875,573.529968,157.59404
76812.398438,-112.879997,-53.781425
76106.796875,636.609985,56.12672
78526.695312,332,72.046959
65739.796875,219.119995,-46.764492
71369.898438,117.860001,11.433664
70547.398438,1352.900024,220.923706
74618.601562,927.109985,180.247314
71535.796875,234.889999,8.275441
78471.398438,2372.969971,355.718903
70777,156.039993,-5.594576
66523.101562,323.699982,-42.946983
79429.695312,802.609985,73.069695
75365.5,139.440002,14.502217
73446.101562,530.369995,-33.97406
68989.898438,68.059998,25.012804
69291.601562,178.449997,-68.751129
69261.5,266.429993,-75.284943
66637.898438,812.570007,-9.86878
64357.300781,113.709999,1.795171
77418.601562,231.569992,226.026581
65888.898438,141.099991,-91.124687
133918.390625,1083.150024,-47.104519
147758.796875,962.799988,78.037399
73659.601562,245.679993,-33.958302
89155.5,1386.099976,141.014511
128014.601562,458.98999,-34.218163
79788.796875,1392.73999,142.229675
73324.296875,304.609985,-64.667694
67958.796875,179.279999,-48.205082
78867.601562,437.410004,21.478403
71433.601562,780.200012,107.614861
74454.101562,1099.75,-90.257744
74374.296875,-14.94,34.925968
82523.695312,288.009979,136.78241
66516.796875,369.350006,-31.933849
80342.5,760.279968,-8.757681
78606.5,76.360001,-56.102001
76099.101562,553.609985,36.198391
70373.796875,1078.169922,-58.995438
72964.5,194.220001,-26.36191
79009.695312,695.539978,119.018585
74206.296875,1712.289917,384.436523
78426.601562,922.959961,69.509621
80536.398438,2347.23999,179.338943
75379.5,58.099998,-52.554489
67725,234.889999,-57.278854
77583.796875,1814.380005,14.342734
68686.101562,240.699997,7.276938
56739.199219,249.830002,17.660793
140965.296875,1322.189941,1935.799072
70291.898438,235.720001,150.888748
73013.5,213.309998,95.186562
76356.695312,123.669998,-9.1997
64208.199219,492.190002,-33.056637
159523.703125,321.209991,70.51371
72773.398438,317.889984,22.311338
79544.5,882.289978,150.537491
66415.296875,385.949982,146.119781
69525.398438,221.610001,4.461889
64489.597656,286.350006,27.522472
67060,688.070007,23.262308
77126,29.049999,-6.523293
53706.097656,512.940002,-3.476309
72207.796875,407.529999,123.888237
119502.601562,130.309998,36.251259
62599.597656,600.089966,54.083607
77985.601562,1272.390015,33.224297
73457.296875,103.75,-120.892212
118506.5,615.029968,-59.353008
76876.796875,723.76001,-44.704243
75982.898438,346.940002,-20.30418
63311.5,190.899994,21.743635
60928,11.62,-5.598784
65283.398438,242.360001,-12.454327
71236.195312,-29.879999,-48.918278
65863.695312,16.6,-90.875
85822.101562,1938.049927,23.840403
76738.898438,1005.959961,5.523336
72562,205.839996,-217.425842
78188.601562,221.610001,11.768253
122842.296875,239.869995,-13.849669
66166.796875,-21.58,13.769344
67018,60.59,-119.369469
127823.5,578.51001,46.852169
70996.796875,190.069992,77.176193
65506.699219,150.229996,32.441555
77347.195312,105.409996,135.161865
75854.101562,207.5,-33.029102
80268.296875,1533.01001,56.414543
74989.601562,494.679993,31.166695
61754.699219,429.940002,47.996334
84452.898438,61.419998,-128.093277
73562.296875,569.380005,-37.674076
79664.195312,302.119995,14.163796
89130.296875,281.369995,146.283478
76505.101562,312.079987,233.087036
69019.296875,239.869995,17.948521
66731.695312,336.97998,-3.195139
77597.796875,1115.52002,211.516449
77450.796875,794.309998,235.590317
77589.398438,855.72998,-8.824512
64299.199219,864.029968,20.330257
77079.101562,766.089966,49.973362
72368.101562,1010.940002,112.436707
77048.296875,301.290009,-104.499519
78539.296875,1256.619995,566.022339
77991.898438,418.319977,60.534092
77821.796875,1406.849976,183.711288
79708.296875,1923.109985,94.79068
76073.898438,363.539978,-24.281582
84252.695312,1208.47998,88.111801
72536.796875,507.130005,43.814121
71369.898438,539.5,-12.910757
78596,942.880005,-57.180931
77782.601562,472.269989,22.415712
73129,1167.809937,10.735558
59813.597656,361.880005,75.840729
74268.601562,834.97998,40.411373
72081.101562,306.269989,110.005432
58916.898438,837.469971,-65.597191
74570.296875,-62.25,-79.703171
81750.195312,829.169983,-112.918152
74809,223.269989,72.89473
77920.5,133.630005,6.549966
76680.796875,836.639954,150.559464
71293.601562,641.589966,-20.689791
