"FSC.A","Timer.Blue","Timer.Red"
85207.5,255.639999,471.449341
131323.5,216.62999,624.992615
87595.195312,136.949997,302.685913
142296,317.059998,1370.398438
125011.601562,193.389999,-13.085407
79422,329.509979,1272.511963
116688.601562,430.769989,716.107849
107777.601562,261.449982,1852.05127
163910.59375,468.119995,614.643311
114203.601562,264.769989,53.187191
134037.390625,239.869995,452.723541
124331.195312,869.839966,1657.312256
118815.898438,257.299988,1103.219116
92414.695312,271.410004,567.376892
104131.296875,400.889984,866.884277
107440.195312,258.130005,461.704254
82601.398438,329.509979,964.310303
84931,293.820007,187.015427
93667.695312,287.179993,253.408432
121363.195312,430.769989,122.022926
93214.796875,279.709991,681.195251
137783.796875,764.429993,503.336487
213430,1032.52002,3229.524902
104048,317.889984,289.885559
98044.796875,469.779999,863.477173
110132.398438,379.309998,577.686157
102106.898438,200.860001,315.852814
81947.601562,214.970001,502.118347
150938.890625,179.279999,223.75415
104045.898438,356.899994,380.373993
84501.195312,253.149994,3019.15332
106456.695312,138.610001,281.887817
130512.195312,915.48999,1518.731445
104012.296875,341.130005,755.461609
110152,449.859985,997.219055
113729.695312,156.869995,299.34433
142053.09375,497.169983,183.248566
100485.695312,106.239998,402.981293
137039.703125,270.579987,1873.613647
110135.898438,370.179993,375.337433
158925.203125,209.159988,1232.635376
161811.296875,292.160004,1385.539307
126427,747,868.899353
105233.101562,332,1349.8927
121412.195312,146.910004,408.77121
107534.695312,30.709999,80.90448
74785.898438,240.699997,134.984543
125020.695312,502.97998,1063.089233
132748,304.609985,1533.198242
68606.296875,393.419983,1143.363281
105579.601562,188.410004,780.550537
100457.695312,329.509979,929.51001
103432.695312,558.589966,1701.182495
99542.101562,429.109985,899.089783
108889.195312,485.549988,1279.772705
58278.5,355.23999,733.38623
145884.203125,333.660004,245.507462
177489.890625,292.98999,480.84256
91434.695312,436.579987,732.97937
159315.796875,470.609985,665.429871
116865,242.360001,683.813599
109668.296875,470.609985,659.448486
185756.203125,302.949982,605.035461
136754.09375,419.97998,393.256317
86349.195312,443.220001,1264.203613
193164.296875,509.619995,1466.865601
96263.296875,170.149994,88.608643
112394.796875,383.459991,168.236832
137712.390625,253.979996,228.518417
147210,368.519989,139.581161
97811.695312,601.75,1494.155029
100968,395.079987,1441.078735
120722.695312,446.539978,261.952606
146127.796875,449.859985,421.128601
121677.5,311.25,85.315521
99110.898438,473.099976,55.735088
126666.398438,244.019989,228.857498
145252.09375,463.970001,1015.201538
109676.695312,229.909988,368.547211
130067,238.209991,1755.12439
124261.195312,289.669983,-19.121218
91321.296875,145.25,665.838074
107106.296875,257.299988,134.24408
88124.398438,259.790009,1168.79834
142281.296875,194.220001,2655.205811
86649.5,419.149994,1038.659424
93669.796875,614.200012,2154.578369
98774.898438,397.569977,614.395264
84898.796875,292.98999,969.314758
55356,125.329994,411.444336
94171.695312,454.009979,1504.852051
92374.101562,318.720001,803.857544
99500.796875,254.809998,1246.977539
114918.296875,66.400002,38.864273
106820,444.049988,1387.707153
98864.5,396.73999,516.041687
102842.601562,395.079987,999.006226
112370.296875,301.290009,90.311707
115341.796875,129.479996,244.193344
84483.695312,166.830002,375.342712
123976.296875,471.440002,827.777344
111887.296875,255.639999,74.323555
114345,296.309998,469.574768
131745.59375,431.600006,797.972473
169755.59375,664,794.102905
81623.5,162.679993,406.678223
140548.09375,548.630005,903.484253
172162.203125,297.139984,1010.059753
111402.898438,306.269989,1491.918091
145454.390625,335.320007,837.167664
130764.195312,253.149994,452.296021
179055.09375,837.469971,1875.027466
84372.398438,219.949997,298.604187
120456.695312,477.25,2001.143188
70934.5,139.440002,736.431335
155189.296875,313.73999,935.958984
128981.296875,621.669983,76.95491
114275.695312,388.440002,971.956055
134956.5,1459.969971,2535.792725
155175.296875,320.380005,417.290558
133547.390625,365.199982,2012.065918
147501.203125,345.279999,1213.513184
157892.703125,859.880005,1908.541016
151953.203125,369.350006,363.023285
89702.195312,637.440002,1619.523193
153853.703125,302.949982,436.574341
114782.5,254.809998,791.270874
118384,703.01001,83.577507
120398.601562,240.699997,731.236511
86249.796875,225.759995,864.529175
120919.398438,283.859985,580.908997
139979.703125,294.649994,-65.700645
84403.195312,220.779999,165.272217
126954.796875,436.579987,289.4104
110667.898438,300.459991,751.100464
112627.898438,412.509979,1158.345459
174697.59375,668.97998,209.929443
177036.296875,400.889984,1005.361328
110121.195312,704.669983,1815.739258
123760,483.889984,421.641998
166831,290.5,2307.614746
94009.296875,416.660004,613.521484
67077.5,228.25,1066.077881
123043.195312,276.389984,510.004242
111303.5,331.169983,663.439026
158993.09375,1026.709961,1808.134888
160631.796875,405.039978,460.023773
157334.796875,498,2899.188965
89560.796875,382.630005,421.495728
143492.296875,513.77002,205.369324
132711.59375,283.859985,245.825989
116785.195312,227.419998,164.725677
176253.703125,366.029999,1077.492554
84716.796875,815.059998,515.217957
126403.898438,322.869995,221.024689
109535.296875,208.330002,437.389954
68547.5,278.880005,411.733826
100199.398438,254.809998,60.726341
114296,110.389999,696.006836
193825.09375,439.069977,427.471863
90736.796875,157.699997,194.113571
135912,293.820007,98.099236
123704,375.98999,123.372765
114298.796875,377.649994,974.12384
105090.296875,161.849991,163.769318
121733.5,39.84,188.378082
138898.890625,391.759979,897.126892
89632.195312,234.889999,544.187195
174941.890625,338.639984,609.222107
169155,476.419983,394.59317
83122.195312,92.129997,547.181702
99719.195312,99.599998,63.002781
84325.5,321.209991,669.065308
72340.101562,130.309998,459.979462
113741.601562,274.72998,100.711098
139139,472.269989,1422.336914
75824,202.519989,41.047802
93731.398438,146.910004,169.832687
100088.101562,249,429.304291
139808.203125,454.839996,1940.048218
97113.101562,164.339996,73.735641
78249.5,60.59,961.350342
103373.898438,352.75,1261.36084
137064.890625,367.690002,77.055222
103401.195312,411.679993,366.556824
88644.5,568.549988,955.984558
77080.5,295.47998,1262.083496
95636.796875,283.029999,237.726852
109102.695312,136.119995,100.292053
98061.601562,353.579987,134.513367
103270.296875,408.359985,1616.040527
101534.296875,283.859985,365.644073
94503.5,307.929993,164.642288
160211.09375,395.079987,350.672272
113919.398438,556.929993,706.925354
183087.796875,659.849976,1706.312256
93549.398438,494.679993,978.902466
93772.695312,441.559998,1003.537354
151671.796875,325.359985,238.843018
123235,403.380005,573.58551
107528.398438,394.25,261.367371
88382.695312,356.899994,411.225098
97599.601562,358.559998,1114.345703
168151.890625,290.5,1782.019409
144934.296875,830,467.725739
95174.796875,537.01001,1237.744751
140669.203125,159.360001,592.727661
110249.296875,234.889999,593.905945
141193.5,322.869995,776.743713
107713.898438,200.029999,9.636358
185850,346.109985,46.167416
101449.601562,493.019989,681.507019
81523.398438,327.019989,233.649673
108416,364.369995,340.744659
122577.695312,405.869995,856.782227
111991.601562,884.779968,1595.45752
68589.5,275.559998,50.312527
99803.195312,385.119995,661.390442
134907.5,370.179993,928.146912
44401,168.48999,138.025726
80549,253.149994,93.223419
173313.703125,442.389984,1406.343506
125729.796875,754.469971,1422.557373
135454.890625,314.570007,208.415726
127414.695312,209.98999,350.0914
122794,548.630005,994.175293
168210,937.899963,1503.906982
59850.699219,133.630005,761.841187
84350,269.75,46.241058
94182.898438,233.229996,609.645996
108204.601562,205.839996,358.948395
57127,481.399994,1252.4646
90683.601562,237.37999,396.968231
104202.695312,395.910004,1271.836182
92361.5,266.429993,228.524841
87620.398438,796.799988,1531.180542
146454.703125,260.619995,382.352966
112415.101562,371.839996,939.886719
62671,270.579987,360.348083
95772.601562,268.919983,291.859131
130203.5,428.279999,43.570103
80650.5,144.419998,115.205032
101853.5,129.479996,1257.535278
95733.398438,489.699982,1381.364136
76150.195312,268.919983,272.23584
103984.296875,202.519989,131.886261
152663.703125,959.47998,3155.755859
131993.390625,295.47998,354.408203
93121.695312,203.349991,600.693726
99768.898438,230.73999,322.321838
109133.5,202.519989,62.752804
149468.203125,140.270004,1007.534851
97865.601562,97.110001,82.323631
163874.890625,712.140015,565.962341
192281.59375,517.089966,1514.962891
97122.195312,292.98999,419.830963
98129.5,643.25,1726.14917
109406.5,374.329987,392.006592
123083.101562,453.179993,421.262207
128145.5,536.179993,1494.327637
127278.195312,321.209991,491.177979
110873.695312,469.779999,551.914612
136461.5,678.109985,985.347961
107936.5,184.259995,567.971191
103166,358.559998,941.033142
128899.398438,456.5,1229.357788
138553.796875,545.309998,768.150513
93480.101562,587.640015,4513.142578
60106.199219,564.399963,858.726135
112062.296875,394.25,270.193512
128112.601562,331.169983,251.755844
96694.5,103.75,6.899283
141498,268.089996,289.672668
97006.695312,257.299988,749.931458
118103.296875,312.910004,355.103912
127360.796875,590.959961,1754.127197
96265.398438,572.700012,321.760071
91546,331.169983,1120.206421
154804.296875,822.529968,1530.550415
128766.398438,480.569977,684.600769
176379,510.449982,503.339142
97534.5,294.649994,464.445068
106689.796875,101.259995,203.228226
87604.296875,202.519989,711.940491
161816.890625,372.669983,927.33783
125383.296875,322.040009,979.107117
97133.398438,251.48999,99.521011
147730.09375,439.069977,932.38623
95166.398438,191.729996,1207.38623
129707.898438,510.449982,44.087414
108451,140.270004,538.175964
67606.695312,755.299988,1661.745117
125743.796875,378.47998,178.171143
91213.5,267.26001,343.269958
149148.296875,385.949982,641.894653
119296.101562,429.940002,1651.233032
139351.09375,262.279999,389.985413
235552.09375,617.519958,350.710938
96779.195312,400.059998,543.272888
101304.695312,209.159988,803.809448
108449.601562,309.589996,222.419739
103674.195312,314.570007,558.840942
82957,284.690002,388.800629
144669.703125,1137.929932,3157.885986
162028.296875,468.949982,90.992554
101965.5,136.949997,48.946728
115872.398438,356.070007,930.865356
100361.101562,176.789993,355.804504
123933.601562,84.659996,428.296387
125484.796875,297.139984,160.786926
114156.695312,493.849976,125.189095
106398.601562,305.440002,818.087891
94927.695312,186.75,318.258667
77324.796875,334.48999,212.89035
123671.796875,424.959991,710.330505
116888.796875,166.830002,48.94828
90328.695312,317.059998,363.198639
92162,223.269989,827.705322
89122.601562,112.049995,199.62085
138287.796875,396.73999,393.458099
101068.101562,289.669983,126.477943
152358.5,502.97998,1171.494507
135891,622.5,370.797791
